118.4844384,50.04051388
120,49.13775535
121.8271668,48.29283439
124.3584357,47.05865854
126.6232553,45.8212432
128.7548501,44.58529712
130.886445,43.34935105
133.0180399,42.11340498
135.5886333,40.56222182
138.4032476,38.93730538
140.7848444,37.58322872
142.300406,36.31902441
144.0324763,35.3260267
145.5480379,34.24254528
147.4966171,33.06894697
149.2286874,31.80486493
151.5362705,31.06786272
154.4672134,30.50844082
157.3981564,29.93890941
160.3290994,29.32388527
163.2600423,28.71897062
166.1909853,28.10394647
169.1219282,27.49903182
172.0528712,26.88400767
174.9838142,26.31953102
177.9147571,25.92691584
180.8457001,25.56968391
183.7766431,25.21750673
186.707586,24.8703843
189.638529,24.39689313
192.569472,23.76164999
195.4813828,23.18633098
198.1596752,22.52527023
200.7577808,21.80384597
202.7063599,20.81097054
205.7374831,20.36087517
208.1190798,20.00077441
210.9336942,19.55055676
213.3152909,19.19045601
215.6968877,18.83035525
218.0784844,18.4702545
220.8930988,18.02003685
223.4912043,17.66005837
226.9553451,17.21020754
230.4194858,16.94107961
234.5331529,16.49159561
237.5994139,16.2811152
240.5953992,15.8624892
243.4100135,15.59299444
246.4411367,15.32362196
249.3231857,15.20214463
252.2868742,14.51367038
255.0962552,13.93100442
258.1160146,13.25446077
261.0469576,12.64954612
263.9779006,12.03452198
266.9088435,11.43466208
269.8397865,10.87524017
273.7212449,10.00770334
273.3036282,8.817386033
273.2869751,7.78813939
270.0037553,7.400088885
267.1752929,7.259252581
264.2443499,6.961725974
261.3134069,6.686777247
258.382464,6.383521924
255.451521,6.098800682
252.5205781,5.888047273
249.5896351,5.717057892
246.6586921,5.560727284
243.7277492,5.482745292
240.7968062,5.431890455
237.8658632,5.377834276
234.9349203,5.41408962
232.0039773,5.346722601
229.0730343,5.345067325
226.1420914,5.328079309
223.2111484,5.133669589
220.2802054,4.877591927
217.3492625,4.79506066
214.4183195,4.665014749
211.4873766,4.559231635
208.5564336,4.446371872
205.6254906,4.293074114
202.6945477,4.067998915
199.7858088,3.765640713
196.8326617,3.7533158
193.9017188,3.722005994
190.9707758,3.682271605
188.0398328,3.580532291
185.1088899,3.442398781
